episode;reward0;avg_reward0;t_global;cr
1;11.0;11.0;0.0;0
2;15.0;13.0;0.0;0
3;9.0;11.7;0.0;0
4;13.0;12.0;0.0;0
5;13.0;12.2;0.0;0
6;21.0;13.7;0.0;0
7;22.0;14.9;0.0;0
8;17.0;15.1;0.0;0
9;14.0;15.0;0.0;0
10;18.0;15.3;0.0;0
11;14.0;15.2;0.0;0
12;16.0;15.2;0.0;0
13;27.0;16.2;0.0;0
14;9.0;15.6;0.0;0
15;20.0;15.9;0.0;0
16;9.0;15.5;0.0;0
17;11.0;15.2;0.0;0
18;13.0;15.1;0.0;0
19;24.0;15.6;0.0;0
20;48.0;17.2;0.0;0
21;21.0;17.4;0.0;0
22;25.0;17.7;0.0;0
23;24.0;18.0;0.0;0
24;17.0;18.0;0.0;0
25;16.0;17.9;0.0;0
26;16.0;17.8;0.0;0
27;18.0;17.8;0.0;0
28;11.0;17.6;0.0;0
29;27.0;17.9;0.0;0
30;13.0;17.7;0.0;0
31;19.0;17.8;0.0;0
32;21.0;17.9;0.0;0
33;11.0;17.7;0.0;0
34;62.0;19.0;0.0;0
35;18.0;18.9;0.0;0
36;17.0;18.9;0.0;0
37;29.0;19.2;0.0;0
38;13.0;19.0;0.0;0
39;31.0;19.3;0.0;0
40;24.0;19.4;0.0;0
41;28.0;19.6;0.0;0
42;13.0;19.5;0.0;0
43;22.0;19.5;0.0;0
44;27.0;19.7;0.0;0
45;13.0;19.6;0.0;0
46;30.0;19.8;0.0;0
47;24.0;19.9;0.0;0
48;15.0;19.8;0.0;0
49;16.0;19.7;0.0;0
50;27.0;19.8;0.0;0
51;61.0;20.6;51.0;50.0
52;19.0;20.6;70.0;69.0
53;21.0;20.6;91.0;90.0
54;13.0;20.5;104.0;103.0
55;70.0;21.4;174.0;173.0
56;21.0;21.4;195.0;194.0
57;23.0;21.4;218.0;217.0
58;47.0;21.8;265.0;264.0
59;64.0;22.6;329.0;328.0
60;34.0;22.8;363.0;362.0
61;29.0;22.9;392.0;391.0
62;17.0;22.8;409.0;408.0
63;17.0;22.7;426.0;425.0
64;24.0;22.7;450.0;449.0
65;17.0;22.6;467.0;466.0
66;10.0;22.4;477.0;476.0
67;12.0;22.3;489.0;488.0
68;19.0;22.2;508.0;507.0
69;14.0;22.1;522.0;521.0
70;44.0;22.4;566.0;565.0
71;8.0;22.2;574.0;573.0
72;12.0;22.1;586.0;585.0
73;14.0;21.9;600.0;599.0
74;16.0;21.9;616.0;615.0
75;22.0;21.9;638.0;637.0
76;14.0;21.8;652.0;651.0
77;14.0;21.7;666.0;665.0
78;18.0;21.6;684.0;683.0
79;11.0;21.5;695.0;694.0
80;25.0;21.5;720.0;719.0
81;85.0;22.3;805.0;804.0
82;36.0;22.5;841.0;840.0
83;19.0;22.4;860.0;859.0
84;14.0;22.3;874.0;873.0
85;14.0;22.2;888.0;887.0
86;25.0;22.3;913.0;912.0
87;18.0;22.2;931.0;930.0
88;12.0;22.1;943.0;942.0
89;11.0;22.0;954.0;953.0
90;10.0;21.8;964.0;963.0
91;19.0;21.8;983.0;982.0
92;17.0;21.8;1000.0;999.0
93;16.0;21.7;1016.0;1015.0
94;19.0;21.7;1035.0;1034.0
95;17.0;21.6;1052.0;1051.0
96;10.0;21.5;1062.0;1061.0
97;16.0;21.4;1078.0;1077.0
98;18.0;21.4;1096.0;1095.0
99;14.0;21.3;1110.0;1109.0
100;14.0;21.3;1124.0;1123.0
101;26.0;21.4;1150.0;1149.0
102;14.0;21.4;1164.0;1163.0
103;14.0;21.4;1178.0;1177.0
104;22.0;21.5;1200.0;1199.0
105;18.0;21.6;1218.0;1217.0
106;18.0;21.6;1236.0;1235.0
107;14.0;21.5;1250.0;1249.0
108;23.0;21.5;1273.0;1272.0
109;24.0;21.6;1297.0;1296.0
110;13.0;21.6;1310.0;1309.0
111;13.0;21.6;1323.0;1322.0
112;24.0;21.7;1347.0;1346.0
113;42.0;21.8;1389.0;1388.0
114;23.0;22.0;1412.0;1411.0
115;11.0;21.9;1423.0;1422.0
116;23.0;22.0;1446.0;1445.0
117;16.0;22.0;1462.0;1461.0
118;16.0;22.1;1478.0;1477.0
119;11.0;22.0;1489.0;1488.0
120;47.0;21.9;1536.0;1535.0
121;17.0;21.9;1553.0;1552.0
122;14.0;21.8;1567.0;1566.0
123;32.0;21.9;1599.0;1598.0
124;16.0;21.9;1615.0;1614.0
125;17.0;21.9;1632.0;1631.0
126;20.0;21.9;1652.0;1651.0
127;14.0;21.9;1666.0;1665.0
128;14.0;21.9;1680.0;1679.0
129;50.0;22.1;1730.0;1729.0
130;32.0;22.3;1762.0;1761.0
131;18.0;22.3;1780.0;1779.0
132;18.0;22.3;1798.0;1797.0
133;12.0;22.3;1810.0;1809.0
134;20.0;21.9;1830.0;1829.0
135;10.0;21.8;1840.0;1839.0
136;10.0;21.7;1850.0;1849.0
137;18.0;21.6;1868.0;1867.0
138;18.0;21.7;1886.0;1885.0
139;31.0;21.7;1917.0;1916.0
140;21.0;21.6;1938.0;1937.0
141;23.0;21.6;1961.0;1960.0
142;67.0;22.1;2028.0;2027.0
143;25.0;22.2;2053.0;2052.0
144;26.0;22.1;2079.0;2078.0
145;34.0;22.4;2113.0;2112.0
146;41.0;22.5;2154.0;2153.0
147;23.0;22.4;2177.0;2176.0
148;18.0;22.5;2195.0;2194.0
149;21.0;22.5;2216.0;2215.0
150;54.0;22.8;2270.0;2269.0
151;37.0;22.6;2307.0;2306.0
152;20.0;22.6;2327.0;2326.0
153;47.0;22.8;2374.0;2373.0
154;27.0;23.0;2401.0;2400.0
155;28.0;22.6;2429.0;2428.0
156;34.0;22.7;2463.0;2462.0
157;48.0;22.9;2511.0;2510.0
158;12.0;22.6;2523.0;2522.0
159;56.0;22.5;2579.0;2578.0
160;11.0;22.3;2590.0;2589.0
161;27.0;22.2;2617.0;2616.0
162;18.0;22.3;2635.0;2634.0
