episode;reward1;avg_reward1;t_global;cr
1;27.0;27.0;0.0;0
2;22.0;24.5;0.0;0
3;14.0;21.0;0.0;0
4;29.0;23.0;0.0;0
5;12.0;20.8;0.0;0
6;23.0;21.2;0.0;0
7;22.0;21.3;0.0;0
8;21.0;21.2;0.0;0
9;20.0;21.1;0.0;0
10;42.0;23.2;0.0;0
11;11.0;22.1;0.0;0
12;10.0;21.1;0.0;0
13;30.0;21.8;0.0;0
14;26.0;22.1;0.0;0
15;21.0;22.0;0.0;0
16;49.0;23.7;0.0;0
17;16.0;23.2;0.0;0
18;13.0;22.7;0.0;0
19;28.0;22.9;0.0;0
20;14.0;22.5;0.0;0
21;14.0;22.1;0.0;0
22;15.0;21.8;0.0;0
23;32.0;22.2;0.0;0
24;16.0;22.0;0.0;0
25;40.0;22.7;0.0;0
26;24.0;22.7;0.0;0
27;13.0;22.4;0.0;0
28;17.0;22.2;0.0;0
29;11.0;21.8;0.0;0
30;19.0;21.7;0.0;0
31;16.0;21.5;0.0;0
32;35.0;21.9;0.0;0
33;25.0;22.0;0.0;0
34;19.0;21.9;0.0;0
35;28.0;22.1;0.0;0
36;34.0;22.4;0.0;0
37;59.0;23.4;0.0;0
38;10.0;23.1;0.0;0
39;29.0;23.2;0.0;0
40;35.0;23.5;0.0;0
41;63.0;24.5;4.0;1.0
42;14.0;24.2;32.0;15.0
43;36.0;24.5;104.0;51.0
44;29.0;24.6;162.0;80.0
45;26.0;24.6;214.0;106.0
46;19.0;24.5;252.0;125.0
47;62.0;25.3;376.0;187.0
48;21.0;25.2;418.0;208.0
49;17.0;25.1;452.0;225.0
50;18.0;24.9;488.0;243.0
51;13.0;24.7;514.0;256.0
52;19.0;24.6;552.0;275.0
53;19.0;24.5;589.0;294.0
54;21.0;24.4;631.0;315.0
55;10.0;24.1;651.0;325.0
56;18.0;24.0;687.0;343.0
57;25.0;24.1;737.0;368.0
58;16.0;23.9;769.0;384.0
59;26.0;23.9;821.0;410.0
60;18.0;23.8;857.0;428.0
61;29.0;23.9;915.0;457.0
62;50.0;24.4;1015.0;507.0
63;14.0;24.2;1043.0;521.0
64;16.0;24.1;1075.0;537.0
65;56.0;24.6;1186.0;593.0
66;10.0;24.3;1206.0;603.0
67;20.0;24.3;1246.0;623.0
68;12.0;24.1;1270.0;635.0
69;26.0;24.1;1322.0;661.0
70;14.0;24.0;1350.0;675.0
71;12.0;23.8;1374.0;687.0
72;22.0;23.8;1418.0;709.0
73;28.0;23.8;1474.0;737.0
