episode;reward0;avg_reward0;t_global;cr;;episode;reward1;avg_reward1;t_global;cr;;episode;reward2;avg_reward2;t_global;cr;;avg_reward;avg_avg_reward
1;11;11;0;0;;1;27;27;0;0;;1;15;15;0;0;;17.66666667;17.66666667
2;15;13;0;0;;2;22;24.5;0;0;;2;16;15.5;0;0;;17.66666667;17.66666667
3;9;11.7;0;0;;3;14;21;0;0;;3;39;23.3;0;0;;20.66666667;18.66666667
4;13;12;0;0;;4;29;23;0;0;;4;17;21.8;0;0;;19.66666667;18.93333333
5;13;12.2;0;0;;5;12;20.8;0;0;;5;19;21.2;0;0;;14.66666667;18.06666667
6;21;13.7;0;0;;6;23;21.2;0;0;;6;10;19.3;0;0;;18;18.06666667
7;22;14.9;0;0;;7;22;21.3;0;0;;7;20;19.4;0;0;;21.33333333;18.53333333
8;17;15.1;0;0;;8;21;21.2;0;0;;8;23;19.9;0;0;;20.33333333;18.73333333
9;14;15;0;0;;9;20;21.1;0;0;;9;14;19.2;0;0;;16;18.43333333
10;18;15.3;0;0;;10;42;23.2;0;0;;10;10;18.3;0;0;;23.33333333;18.93333333
11;14;15.2;0;0;;11;11;22.1;0;0;;11;15;18;0;0;;13.33333333;18.43333333
12;16;15.2;0;0;;12;10;21.1;0;0;;12;17;17.9;0;0;;14.33333333;18.06666667
13;27;16.2;0;0;;13;30;21.8;0;0;;13;17;17.8;0;0;;24.66666667;18.6
14;9;15.6;0;0;;14;26;22.1;0;0;;14;12;17.4;0;0;;15.66666667;18.36666667
15;20;15.9;0;0;;15;21;22;0;0;;15;16;17.3;0;0;;19;18.4
16;9;15.5;0;0;;16;49;23.7;0;0;;16;30;18.1;1;0;;29.33333333;19.1
17;11;15.2;0;0;;17;16;23.2;0;0;;17;16;18;1;0;;14.33333333;18.8
18;13;15.1;0;0;;18;13;22.7;0;0;;18;17;17.9;1;0;;14.33333333;18.56666667
19;24;15.6;0;0;;19;28;22.9;0;0;;19;12;17.6;1;0;;21.33333333;18.7
20;48;17.2;0;0;;20;14;22.5;0;0;;20;12;17.4;1;0;;24.66666667;19.03333333
21;21;17.4;0;0;;21;14;22.1;0;0;;21;19;17.4;1;0;;18;18.96666667
22;25;17.7;0;0;;22;15;21.8;0;0;;22;13;17.2;1;0;;17.66666667;18.9
23;24;18;0;0;;23;32;22.2;0;0;;23;28;17.7;1;0;;28;19.3
24;17;18;0;0;;24;16;22;0;0;;24;33;18.3;1;0;;22;19.43333333
25;16;17.9;0;0;;25;40;22.7;0;0;;25;28;18.7;1;0;;28;19.76666667
26;16;17.8;0;0;;26;24;22.7;0;0;;26;19;18.7;1;0;;19.66666667;19.73333333
27;18;17.8;0;0;;27;13;22.4;0;0;;27;26;19;1;0;;19;19.73333333
28;11;17.6;0;0;;28;17;22.2;0;0;;28;19;19;1;0;;15.66666667;19.6
29;27;17.9;0;0;;29;11;21.8;0;0;;29;22;19.1;1;0;;20;19.6
30;13;17.7;0;0;;30;19;21.7;0;0;;30;26;19.3;1;0;;19.33333333;19.56666667
31;19;17.8;0;0;;31;16;21.5;0;0;;31;45;20.2;1;0;;26.66666667;19.83333333
32;21;17.9;0;0;;32;35;21.9;0;0;;32;13;19.9;1;0;;23;19.9
33;11;17.7;0;0;;33;25;22;0;0;;33;36;20.4;1;0;;24;20.03333333
34;62;19;0;0;;34;19;21.9;0;0;;34;39;21;1;0;;40;20.63333333
35;18;18.9;0;0;;35;28;22.1;0;0;;35;24;21.1;1;0;;23.33333333;20.7
36;17;18.9;0;0;;36;34;22.4;0;0;;36;29;21.3;1;0;;26.66666667;20.86666667
37;29;19.2;0;0;;37;59;23.4;0;0;;37;45;21.9;1;0;;44.33333333;21.5
38;13;19;0;0;;38;10;23.1;0;0;;38;10;21.6;1;0;;11;21.23333333
39;31;19.3;0;0;;39;29;23.2;0;0;;39;18;21.5;1;0;;26;21.33333333
40;24;19.4;0;0;;40;35;23.5;0;0;;40;18;21.4;1;0;;25.66666667;21.43333333
41;28;19.6;0;0;;41;63;24.5;6;1;;41;18;21.3;1;0;;36.33333333;21.8
42;13;19.5;0;0;;42;14;24.2;48;15;;42;16;21.2;1;0;;14.33333333;21.63333333
43;22;19.5;0;0;;43;36;24.5;156;51;;43;12;21;1;0;;23.33333333;21.66666667
44;27;19.7;0;0;;44;29;24.6;243;80;;44;41;21.5;1;0;;32.33333333;21.93333333
45;13;19.6;0;0;;45;26;24.6;320;106;;45;36;21.8;1;0;;25;22
46;30;19.8;0;0;;46;19;24.5;377;125;;46;20;21.7;1;0;;23;22
47;24;19.9;0;0;;47;70;25.5;587;195;;47;24;21.8;66;21;;39.33333333;22.4
48;15;19.8;0;0;;48;17;25.3;638;212;;48;17;21.7;117;38;;16.33333333;22.26666667
49;16;19.7;0;0;;49;28;25.4;722;240;;49;17;21.6;168;55;;20.33333333;22.23333333
