comm_rounds;t6;staleness6;epoch6
1;1001;2.0;1.0
2;1002;6.0;1.0
3;1003;2.0;1.0
4;1004;7.0;1.0
5;1005;7.0;1.0
6;1006;4.0;1.0
7;1007;4.0;1.0
8;1008;9.0;1.0
9;1009;1.0;1.0
10;1010;9.0;1.0
11;1011;1.0;1.0
12;1012;3.0;1.0
13;1013;2.0;1.0
14;1014;2.0;1.0
15;1015;10.0;1.0
16;1016;4.0;1.0
17;1017;2.0;1.0
18;1018;7.0;1.0
19;1019;6.0;1.0
20;1020;2.0;1.0
21;1021;1.0;1.0
22;1022;8.0;1.0
23;1023;5.0;1.0
24;1024;6.0;1.0
25;1025;7.0;1.0
26;1026;1.0;1.0
27;1027;3.0;1.0
28;1028;2.0;1.0
29;1029;2.0;1.0
30;1030;1.0;1.0
31;1031;2.0;1.0
32;1032;8.0;1.0
33;1033;4.0;1.0
34;1034;7.0;1.0
35;1035;1.0;1.0
36;1036;3.0;1.0
37;1037;2.0;1.0
38;1038;1.0;1.0
39;1039;4.0;1.0
40;1040;8.0;1.0
41;1041;6.0;1.0
42;1042;2.0;1.0
43;1043;7.0;1.0
44;1044;6.0;1.0
45;1045;10.0;1.0
46;1046;6.0;1.0
47;1047;9.0;1.0
48;1048;3.0;1.0
49;1049;7.0;1.0
50;1050;5.0;1.0
51;1051;5.0;1.0
52;1052;9.0;1.0
53;1053;5.0;1.0
54;1054;4.0;1.0
55;1055;10.0;1.0
56;1056;7.0;1.0
57;1057;7.0;1.0
58;1058;4.0;1.0
59;1059;4.0;1.0
60;1060;5.0;1.0
61;1061;8.0;1.0
62;1062;9.0;1.0
63;1063;6.0;1.0
64;1064;9.0;1.0
65;1065;6.0;1.0
66;1066;9.0;1.0
67;1067;7.0;1.0
68;1068;8.0;1.0
69;1069;8.0;1.0
70;1070;4.0;1.0
71;1071;7.0;1.0
72;1072;10.0;1.0
73;1073;2.0;1.0
74;1074;5.0;1.0
75;1075;4.0;1.0
76;1076;1.0;1.0
77;1077;10.0;1.0
78;1078;10.0;1.0
79;1079;1.0;1.0
80;1080;7.0;1.0
81;1081;6.0;1.0
82;1082;6.0;1.0
83;1083;7.0;1.0
84;1084;1.0;1.0
