comm_rounds;t6;staleness6;epoch6
1;1100;200.0;99.96
2;1200;800.0;99.92
3;1300;800.0;99.88
4;1400;100.0;99.84
5;1500;400.0;99.8
6;1600;400.0;99.76
7;1700;900.0;99.72
8;1800;700.0;99.68
9;1900;800.0;99.64
10;2000;800.0;99.6
11;2100;500.0;99.56
12;2200;700.0;99.52
13;2300;1000.0;99.48
14;2399;198.0;99.44
15;2498;594.0;99.4
16;2597;99.0;99.36
17;2696;495.0;99.32
18;2795;891.0;99.28
19;2894;594.0;99.24
20;2993;594.0;99.2
21;3092;891.0;99.16
22;3191;792.0;99.12
23;3290;693.0;99.08
24;3389;792.0;99.04
25;3488;594.0;99.0
26;3587;198.0;98.96
27;3686;396.0;98.92
28;3785;594.0;98.88
29;3884;693.0;98.84
30;3983;693.0;98.8
31;4082;594.0;98.76
32;4181;990.0;98.72
33;4280;396.0;98.68
34;4379;297.0;98.64
35;4478;891.0;98.6
36;4577;693.0;98.56
37;4676;594.0;98.52
38;4775;792.0;98.48
39;4873;686.0;98.44
40;4971;392.0;98.4
41;5069;784.0;98.36
42;5167;784.0;98.32
43;5265;98.0;98.28
44;5363;784.0;98.24
45;5461;686.0;98.2
46;5559;294.0;98.16
47;5657;784.0;98.12
48;5755;980.0;98.08
49;5853;686.0;98.04
50;5951;392.0;98.0
51;6049;784.0;97.96
52;6147;588.0;97.92
53;6245;686.0;97.88
54;6343;686.0;97.84
55;6441;588.0;97.8
56;6539;686.0;97.76
57;6637;882.0;97.72
58;6735;196.0;97.68
59;6833;98.0;97.64
60;6931;882.0;97.6
61;7029;686.0;97.56
62;7127;882.0;97.52
63;7225;588.0;97.48
64;7322;582.0;97.44
65;7419;97.0;97.4
66;7516;776.0;97.36
67;7613;970.0;97.32
68;7710;776.0;97.28
69;7807;873.0;97.24
70;7904;873.0;97.2
71;8001;388.0;97.16
72;8098;582.0;97.12
73;8195;97.0;97.08
74;8292;873.0;97.04
75;8389;582.0;97.0
76;8486;970.0;96.96
77;8583;194.0;96.92
78;8680;97.0;96.88
79;8777;970.0;96.84
80;8874;97.0;96.8
81;8971;776.0;96.76
82;9068;776.0;96.72
83;9165;97.0;96.68
84;9262;97.0;96.64
85;9359;970.0;96.6
86;9456;776.0;96.56
87;9553;388.0;96.52
88;9650;485.0;96.48
89;9746;480.0;96.44
90;9842;672.0;96.4
91;9938;288.0;96.36
92;10034;768.0;96.32
93;10130;768.0;96.28
94;10226;864.0;96.24
95;10322;960.0;96.2
96;10418;960.0;96.16
97;10514;960.0;96.12
98;10610;480.0;96.08
99;10706;960.0;96.04
100;10802;768.0;96.0
101;10898;768.0;95.96
102;10994;672.0;95.92
103;11090;480.0;95.88
104;11186;672.0;95.84
105;11282;576.0;95.8
106;11378;96.0;95.76
107;11474;864.0;95.72
108;11570;768.0;95.68
109;11666;672.0;95.64
110;11762;960.0;95.6
111;11858;288.0;95.56
112;11954;768.0;95.52
113;12050;288.0;95.48
114;12145;380.0;95.44
115;12240;285.0;95.4
116;12335;475.0;95.36
117;12430;760.0;95.32
118;12525;665.0;95.28
119;12620;95.0;95.24
120;12715;475.0;95.2
121;12810;475.0;95.16
122;12905;855.0;95.12
123;13000;760.0;95.08
124;13095;570.0;95.04
125;13190;380.0;95.0
126;13285;665.0;94.96
127;13380;285.0;94.92
128;13475;760.0;94.88
129;13570;855.0;94.84
130;13665;855.0;94.8
131;13760;950.0;94.76
132;13855;475.0;94.72
133;13950;855.0;94.68
134;14045;285.0;94.64
135;14140;665.0;94.6
136;14235;190.0;94.56
137;14330;665.0;94.52
138;14425;950.0;94.48
139;14519;752.0;94.44
140;14613;752.0;94.4
141;14707;940.0;94.36
142;14801;94.0;94.32
143;14895;752.0;94.28
144;14989;658.0;94.24
145;15083;658.0;94.2
146;15177;846.0;94.16
147;15271;282.0;94.12
148;15365;846.0;94.08
149;15459;564.0;94.04
150;15553;846.0;94.0
151;15647;658.0;93.96
152;15741;564.0;93.92
153;15835;940.0;93.88
154;15929;470.0;93.84
155;16023;470.0;93.8
156;16117;658.0;93.76
157;16211;940.0;93.72
158;16305;282.0;93.68
159;16399;658.0;93.64
160;16493;752.0;93.6
161;16587;752.0;93.56
162;16681;846.0;93.52
163;16775;658.0;93.48
164;16868;93.0;93.44
165;16961;651.0;93.4
166;17054;279.0;93.36
167;17147;279.0;93.32
168;17240;558.0;93.28
169;17333;279.0;93.24
170;17426;372.0;93.2
171;17519;930.0;93.16
172;17612;651.0;93.12
173;17705;558.0;93.08
174;17798;651.0;93.04
175;17891;837.0;93.0
176;17984;372.0;92.96000000000001
177;18077;465.0;92.92
178;18170;744.0;92.88
179;18263;651.0;92.84
180;18356;930.0;92.8
181;18449;558.0;92.76
182;18542;930.0;92.72
183;18635;465.0;92.68
184;18728;651.0;92.64
185;18821;930.0;92.6
186;18914;744.0;92.56
187;19007;558.0;92.52
188;19100;465.0;92.48
189;19192;736.0;92.44
190;19284;368.0;92.4
191;19376;920.0;92.36
192;19468;920.0;92.32
193;19560;736.0;92.28
194;19652;184.0;92.24
195;19744;736.0;92.2
196;19836;736.0;92.16
197;19928;920.0;92.12
198;20020;276.0;92.08
199;20112;920.0;92.03999999999999
