episode;reward3;avg_reward3;t_global;cr
1;16.0;16.0;0.0;0
2;24.0;20.0;0.0;0
3;20.0;20.0;0.0;0
4;25.0;21.2;0.0;0
5;13.0;19.6;0.0;0
6;10.0;18.0;0.0;0
7;33.0;20.1;0.0;0
8;21.0;20.2;0.0;0
9;37.0;22.1;0.0;0
10;23.0;22.2;0.0;0
11;22.0;22.2;0.0;0
12;18.0;21.8;0.0;0
13;12.0;21.1;0.0;0
14;23.0;21.2;0.0;0
15;21.0;21.2;0.0;0
16;17.0;20.9;0.0;0
17;31.0;21.5;0.0;0
18;11.0;20.9;0.0;0
19;13.0;20.5;0.0;0
20;13.0;20.2;0.0;0
21;32.0;20.7;0.0;0
22;23.0;20.8;0.0;0
23;10.0;20.3;0.0;0
24;11.0;20.0;0.0;0
25;11.0;19.6;0.0;0
26;15.0;19.4;0.0;0
27;28.0;19.7;0.0;0
28;18.0;19.7;0.0;0
29;14.0;19.5;0.0;0
30;13.0;19.3;0.0;0
31;18.0;19.2;0.0;0
32;14.0;19.1;0.0;0
33;12.0;18.8;0.0;0
34;22.0;18.9;0.0;0
35;28.0;19.2;0.0;0
36;12.0;19.0;0.0;0
37;50.0;19.8;0.0;0
38;18.0;19.8;0.0;0
39;22.0;19.8;0.0;0
40;31.0;20.1;0.0;0
41;12.0;19.9;0.0;0
42;17.0;19.9;0.0;0
43;27.0;20.0;0.0;0
44;11.0;19.8;0.0;0
45;29.0;20.0;0.0;0
46;15.0;19.9;0.0;0
47;20.0;19.9;0.0;0
48;15.0;19.8;0.0;0
49;17.0;19.8;0.0;0
50;25.0;19.9;0.0;0
51;9.0;19.6;0.0;0
52;11.0;19.5;0.0;0
53;21.0;19.5;0.0;0
54;27.0;19.6;100.0;0
55;19.0;19.6;400.0;0
56;30.0;19.8;800.0;0.0
57;15.0;19.7;800.0;0.0
58;13.0;19.6;800.0;0.0
59;18.0;19.6;800.0;0.0
60;14.0;19.5;800.0;0.0
61;17.0;19.5;800.0;0.0
62;15.0;19.4;1600.0;1.0
63;15.0;19.3;1600.0;1.0
64;18.0;19.3;1600.0;1.0
65;16.0;19.2;1600.0;1.0
66;17.0;19.2;1600.0;1.0
67;14.0;19.1;1600.0;1.0
68;16.0;19.1;1600.0;1.0
69;14.0;19.0;2400.0;2.0
70;17.0;19.0;2400.0;2.0
71;18.0;19.0;2400.0;2.0
72;18.0;19.0;2400.0;2.0
73;35.0;19.2;2400.0;2.0
74;12.0;19.1;3200.0;3.0
75;21.0;19.1;3200.0;3.0
76;15.0;19.1;3200.0;3.0
77;14.0;19.0;3200.0;3.0
78;27.0;19.1;3200.0;3.0
79;23.0;19.1;4000.0;4.0
80;11.0;19.0;4000.0;4.0
81;23.0;19.1;4000.0;4.0
82;15.0;19.0;4000.0;4.0
83;38.0;19.3;4000.0;4.0
84;25.0;19.3;4800.0;5.0
85;57.0;19.8;4800.0;5.0
86;26.0;19.8;5600.0;6.0
87;17.0;19.8;5600.0;6.0
88;23.0;19.9;5600.0;6.0
89;51.0;20.2;5600.0;6.0
90;14.0;20.1;6400.0;7.0
91;12.0;20.0;6400.0;7.0
92;42.0;20.3;6400.0;7.0
93;15.0;20.2;6400.0;7.0
94;15.0;20.2;6400.0;7.0
95;33.0;20.3;7200.0;8.0
96;17.0;20.3;7200.0;8.0
97;11.0;20.2;7200.0;8.0
98;27.0;20.2;7200.0;8.0
99;22.0;20.3;8000.0;9.0
100;11.0;20.2;8000.0;9.0
101;10.0;20.1;8000.0;9.0
102;55.0;20.4;8000.0;9.0
103;11.0;20.3;8000.0;9.0
104;35.0;20.4;8800.0;10.0
105;23.0;20.5;8800.0;10.0
106;16.0;20.6;8800.0;10.0
107;11.0;20.4;8800.0;10.0
108;30.0;20.5;9600.0;11.0
109;13.0;20.2;9600.0;11.0
110;19.0;20.2;9600.0;11.0
111;12.0;20.1;9600.0;11.0
112;15.0;20.0;9600.0;11.0
113;15.0;20.1;9600.0;11.0
114;11.0;20.0;9600.0;11.0
115;11.0;19.9;10400.0;12.0
116;16.0;19.8;10400.0;12.0
117;10.0;19.6;10400.0;12.0
118;30.0;19.8;10400.0;12.0
119;47.0;20.2;11192.0;13.0
120;15.0;20.2;11192.0;13.0
121;26.0;20.1;11192.0;13.0
122;13.0;20.0;11192.0;13.0
123;13.0;20.1;11192.0;13.0
124;23.0;20.2;11192.0;13.0
125;12.0;20.2;11984.0;14.0
126;18.0;20.2;11984.0;14.0
127;12.0;20.1;11984.0;14.0
128;21.0;20.1;11984.0;14.0
129;10.0;20.0;11984.0;14.0
130;30.0;20.2;12776.0;15.0
131;12.0;20.2;12776.0;15.0
132;13.0;20.2;12776.0;15.0
133;20.0;20.2;12776.0;15.0
134;12.0;20.1;12776.0;15.0
135;28.0;20.1;12776.0;15.0
136;12.0;20.1;12776.0;15.0
137;36.0;20.0;13568.0;16.0
138;16.0;20.0;13568.0;16.0
139;14.0;19.9;13568.0;16.0
140;48.0;20.1;14360.0;17.0
141;18.0;20.1;14360.0;17.0
142;28.0;20.2;14360.0;17.0
143;22.0;20.2;14360.0;17.0
144;11.0;20.2;14360.0;17.0
145;17.0;20.1;15152.0;18.0
146;18.0;20.1;15152.0;18.0
147;20.0;20.1;15152.0;18.0
148;17.0;20.1;15152.0;18.0
149;25.0;20.2;15152.0;18.0
150;15.0;20.1;15944.0;19.0
151;15.0;20.2;15944.0;19.0
152;15.0;20.2;15944.0;19.0
153;28.0;20.3;15944.0;19.0
154;20.0;20.2;15944.0;19.0
155;10.0;20.1;15944.0;19.0
156;42.0;20.2;16736.0;20.0
157;21.0;20.3;16736.0;20.0
158;18.0;20.3;16736.0;20.0
159;12.0;20.3;16736.0;20.0
160;12.0;20.2;17528.0;21.0
161;25.0;20.3;17528.0;21.0
162;59.0;20.8;17528.0;21.0
163;50.0;21.1;18320.0;22.0
164;21.0;21.2;18320.0;22.0
165;25.0;21.2;18320.0;22.0
166;16.0;21.2;19112.0;23.0
167;24.0;21.3;19112.0;23.0
168;51.0;21.7;19112.0;23.0
169;16.0;21.7;19112.0;23.0
170;35.0;21.9;19904.0;24.0
171;51.0;22.2;19904.0;24.0
172;39.0;22.4;20696.0;25.0
173;25.0;22.3;20696.0;25.0
174;16.0;22.4;20696.0;25.0
175;151.0;23.7;22280.0;27.0
176;66.0;24.2;22280.0;27.0
177;91.0;24.9;23072.0;28.0
178;27.0;24.9;23072.0;28.0
179;25.0;25.0;23864.0;29.0
180;18.0;25.0;23864.0;29.0
181;16.0;25.0;23864.0;29.0
182;55.0;25.4;24656.0;30.0
183;28.0;25.3;24656.0;30.0
184;36.0;25.4;24656.0;30.0
185;23.0;25.0;25448.0;31.0
186;45.0;25.2;25448.0;31.0
187;29.0;25.3;25448.0;31.0
188;79.0;25.9;26240.0;32.0
189;39.0;25.8;26240.0;32.0
190;13.0;25.8;27032.0;33.0
191;19.0;25.8;27032.0;33.0
192;62.0;26.0;27032.0;33.0
193;46.0;26.4;27824.0;34.0
194;91.0;27.1;28616.0;35.0
195;30.0;27.1;28616.0;35.0
196;22.0;27.1;28616.0;35.0
197;75.0;27.8;29408.0;36.0
198;85.0;28.4;30200.0;37.0
199;42.0;28.6;30200.0;37.0
200;124.0;29.7;31768.0;39.0
201;73.0;30.3;31768.0;39.0
202;106.0;30.8;32552.0;40.0
203;86.0;31.6;33336.0;41.0
204;75.0;32.0;34120.0;42.0
205;59.0;32.3;34904.0;43.0
206;51.0;32.7;34904.0;43.0
207;72.0;33.3;35688.0;44.0
208;49.0;33.5;35688.0;44.0
209;56.0;33.9;36472.0;45.0
210;64.0;34.4;37256.0;46.0
211;100.0;35.2;38040.0;47.0
212;87.0;36.0;38824.0;48.0
213;84.0;36.6;38824.0;48.0
214;92.0;37.5;39608.0;49.0
215;71.0;38.1;40392.0;50.0
216;89.0;38.8;41176.0;51.0
217;41.0;39.1;41176.0;51.0
218;89.0;39.7;41960.0;52.0
219;80.0;40.0;42744.0;53.0
220;134.0;41.2;44312.0;55.0
221;118.0;42.1;45096.0;56.0
222;55.0;42.6;45096.0;56.0
223;61.0;43.0;45880.0;57.0
224;54.0;43.3;45880.0;57.0
225;53.0;43.8;46664.0;58.0
226;90.0;44.5;47448.0;59.0
227;94.0;45.3;48232.0;60.0
228;77.0;45.8;49016.0;61.0
229;176.0;47.5;49800.0;62.0
230;72.0;47.9;50576.0;63.0
231;102.0;48.8;51352.0;64.0
232;98.0;49.7;52128.0;65.0
233;69.0;50.2;52904.0;66.0
234;100.0;51.0;53680.0;67.0
235;156.0;52.3;55232.0;69.0
236;41.0;52.6;55232.0;69.0
237;51.0;52.8;56008.0;70.0
238;70.0;53.3;56008.0;70.0
239;101.0;54.2;56784.0;71.0
240;85.0;54.6;57560.0;72.0
241;65.0;55.0;58336.0;73.0
242;48.0;55.2;58336.0;73.0
243;65.0;55.6;59112.0;74.0
244;60.0;56.1;59888.0;75.0
245;16.0;56.1;59888.0;75.0
246;72.0;56.7;60664.0;76.0
247;51.0;57.0;60664.0;76.0
248;65.0;57.5;61440.0;77.0
249;72.0;57.9;62216.0;78.0
250;84.0;58.6;62216.0;78.0
251;72.0;59.2;62992.0;79.0
252;73.0;59.8;63768.0;80.0
253;98.0;60.5;64544.0;81.0
254;143.0;61.7;65320.0;82.0
255;95.0;62.6;66096.0;83.0
256;110.0;63.2;66872.0;84.0
257;138.0;64.4;68424.0;86.0
258;91.0;65.1;69200.0;87.0
259;80.0;65.8;69968.0;88.0
260;103.0;66.7;70736.0;89.0
261;137.0;67.8;71504.0;90.0
262;110.0;68.4;72272.0;91.0
263;92.0;68.8;73040.0;92.0
264;101.0;69.6;73808.0;93.0
265;118.0;70.5;75344.0;95.0
266;104.0;71.4;76112.0;96.0
267;183.0;73.0;77648.0;98.0
268;113.0;73.6;78416.0;99.0
269;114.0;74.6;79184.0;100.0
270;129.0;75.5;79952.0;101.0
271;105.0;76.0;80720.0;102.0
272;160.0;77.3;82256.0;104.0
273;151.0;78.5;83792.0;106.0
274;119.0;79.6;84560.0;107.0
275;152.0;79.6;85328.0;108.0
276;142.0;80.3;86864.0;110.0
277;152.0;80.9;87632.0;111.0
278;147.0;82.1;89160.0;113.0
279;133.0;83.2;89920.0;114.0
280;150.0;84.5;91440.0;116.0
281;135.0;85.7;92200.0;117.0
282;127.0;86.4;93720.0;119.0
283;134.0;87.5;94480.0;120.0
284;151.0;88.6;96000.0;122.0
285;131.0;89.7;96760.0;123.0
286;144.0;90.7;98280.0;125.0
287;134.0;91.8;99040.0;126.0
288;200.0;93.0;100560.0;128.0
289;168.0;94.3;102080.0;130.0
290;164.0;95.8;103600.0;132.0
291;156.0;97.2;104360.0;133.0
292;189.0;98.4;105880.0;135.0
293;147.0;99.4;107400.0;137.0
294;170.0;100.2;108904.0;139.0
295;179.0;101.7;110408.0;141.0
296;138.0;102.9;111160.0;142.0
297;155.0;103.7;112664.0;144.0
298;170.0;104.5;113416.0;145.0
299;169.0;105.8;114920.0;147.0
300;161.0;106.2;116424.0;149.0
301;152.0;107.0;117928.0;151.0
302;141.0;107.3;118680.0;152.0
303;159.0;108.0;120184.0;154.0
304;177.0;109.0;121688.0;156.0
305;138.0;109.8;122440.0;157.0
306;151.0;110.8;123944.0;159.0
307;146.0;111.6;124696.0;160.0
308;154.0;112.6;126200.0;162.0
309;152.0;113.6;127688.0;164.0
310;147.0;114.4;128432.0;165.0
311;159.0;115.0;129920.0;167.0
312;200.0;116.1;131408.0;169.0
313;157.0;116.9;132896.0;171.0
314;162.0;117.6;133640.0;172.0
315;171.0;118.6;135128.0;174.0
316;166.0;119.3;136616.0;176.0
317;165.0;120.6;138104.0;178.0
318;169.0;121.4;139592.0;180.0
319;174.0;122.3;141080.0;182.0
320;178.0;122.8;141824.0;183.0
321;191.0;123.5;144056.0;186.0
322;153.0;124.5;144800.0;187.0
323;189.0;125.8;146272.0;189.0
324;182.0;127.0;147652.0;191.0
325;200.0;128.5;149124.0;193.0
326;198.0;129.6;151332.0;196.0
327;163.0;130.3;152068.0;197.0
328;186.0;131.4;153540.0;199.0
329;151.0;131.1;155012.0;201.0
330;162.0;132.0;156484.0;203.0
331;200.0;133.0;157956.0;205.0
332;176.0;133.8;159428.0;207.0
333;166.0;134.7;160900.0;209.0
334;193.0;135.7;162372.0;211.0
335;159.0;135.7;163108.0;212.0
336;150.0;136.8;164564.0;214.0
337;200.0;138.3;166020.0;216.0
338;191.0;139.5;167476.0;218.0
339;158.0;140.1;168932.0;220.0
340;163.0;140.8;170388.0;222.0
341;200.0;142.2;171844.0;224.0
342;172.0;143.4;173300.0;226.0
343;200.0;144.8;174756.0;228.0
344;172.0;145.9;176212.0;230.0
345;200.0;147.7;177668.0;232.0
346;200.0;149.0;179124.0;234.0
347;200.0;150.5;181308.0;237.0
348;200.0;151.9;182748.0;239.0
349;200.0;153.1;184188.0;241.0
350;200.0;154.3;185628.0;243.0
351;199.0;155.6;187788.0;246.0
352;200.0;156.8;189228.0;248.0
353;200.0;157.9;190668.0;250.0
354;200.0;158.4;192108.0;252.0
355;200.0;159.5;193548.0;254.0
356;200.0;160.4;195708.0;257.0
357;191.0;160.9;197148.0;259.0
358;180.0;161.8;198588.0;261.0
359;200.0;163.0;200020.0;263.0
360;200.0;164.0;201444.0;265.0
361;200.0;164.6;203580.0;268.0
362;200.0;165.5;205004.0;270.0
363;174.0;166.3;206428.0;272.0
364;200.0;167.3;207852.0;274.0
365;200.0;168.1;209276.0;276.0
366;200.0;169.1;210700.0;278.0
367;200.0;169.3;212836.0;281.0
368;200.0;170.1;214260.0;283.0
