episode;reward0;avg_reward0;t_global;cr
1;11.0;11.0;0.0;0
2;15.0;13.0;0.0;0
3;9.0;11.7;0.0;0
4;13.0;12.0;0.0;0
5;13.0;12.2;0.0;0
6;21.0;13.7;0.0;0
7;22.0;14.9;0.0;0
8;17.0;15.1;0.0;0
9;14.0;15.0;0.0;0
10;18.0;15.3;0.0;0
11;14.0;15.2;0.0;0
12;16.0;15.2;0.0;0
13;27.0;16.2;0.0;0
14;9.0;15.6;0.0;0
15;20.0;15.9;0.0;0
16;9.0;15.5;0.0;0
17;11.0;15.2;0.0;0
18;13.0;15.1;0.0;0
19;24.0;15.6;0.0;0
20;48.0;17.2;0.0;0
21;21.0;17.4;0.0;0
22;25.0;17.7;0.0;0
23;24.0;18.0;0.0;0
24;17.0;18.0;0.0;0
25;16.0;17.9;0.0;0
26;16.0;17.8;0.0;0
27;18.0;17.8;0.0;0
28;11.0;17.6;0.0;0
29;27.0;17.9;0.0;0
30;13.0;17.7;0.0;0
31;19.0;17.8;0.0;0
32;21.0;17.9;0.0;0
33;11.0;17.7;0.0;0
34;62.0;19.0;0.0;0
35;18.0;18.9;0.0;0
36;17.0;18.9;0.0;0
37;29.0;19.2;0.0;0
38;13.0;19.0;0.0;0
39;31.0;19.3;0.0;0
40;24.0;19.4;0.0;0
41;28.0;19.6;0.0;0
42;13.0;19.5;0.0;0
43;22.0;19.5;0.0;0
44;27.0;19.7;0.0;0
45;13.0;19.6;0.0;0
46;30.0;19.8;0.0;0
47;24.0;19.9;0.0;0
48;15.0;19.8;0.0;0
49;16.0;19.7;0.0;0
50;27.0;19.8;0.0;0
51;61.0;20.6;0.0;0
52;19.0;20.6;0.0;0
53;21.0;20.6;0.0;0
54;13.0;20.5;800.0;0.0
55;73.0;21.4;800.0;0.0
56;12.0;21.3;800.0;0.0
57;42.0;21.6;1600.0;1.0
58;20.0;21.6;1600.0;1.0
59;13.0;21.5;1600.0;1.0
60;19.0;21.4;1600.0;1.0
61;17.0;21.3;2400.0;2.0
62;36.0;21.6;2400.0;2.0
63;20.0;21.6;2400.0;2.0
64;11.0;21.4;2400.0;2.0
65;13.0;21.3;2400.0;2.0
66;13.0;21.1;2400.0;2.0
67;20.0;21.1;3200.0;3.0
68;10.0;21.0;3200.0;3.0
69;27.0;21.0;3200.0;3.0
70;14.0;20.9;3200.0;3.0
71;14.0;20.8;3200.0;3.0
72;10.0;20.7;3200.0;3.0
73;16.0;20.6;4000.0;4.0
74;11.0;20.5;4000.0;4.0
75;26.0;20.6;4000.0;4.0
76;17.0;20.5;4000.0;4.0
77;28.0;20.6;4000.0;4.0
78;17.0;20.6;4800.0;5.0
79;9.0;20.4;4800.0;5.0
80;12.0;20.3;4800.0;5.0
81;16.0;20.3;4800.0;5.0
82;10.0;20.1;4800.0;5.0
83;18.0;20.1;4800.0;5.0
84;12.0;20.0;4800.0;5.0
85;18.0;20.0;4800.0;5.0
86;13.0;19.9;5600.0;6.0
87;9.0;19.8;5600.0;6.0
88;55.0;20.2;5600.0;6.0
89;19.0;20.2;5600.0;6.0
90;17.0;20.1;6400.0;7.0
91;31.0;20.3;6400.0;7.0
92;21.0;20.3;6400.0;7.0
93;16.0;20.2;6400.0;7.0
94;11.0;20.1;6400.0;7.0
95;17.0;20.1;7200.0;8.0
96;16.0;20.1;7200.0;8.0
97;22.0;20.1;7200.0;8.0
98;11.0;20.0;7200.0;8.0
99;10.0;19.9;7200.0;8.0
100;11.0;19.8;7200.0;8.0
101;27.0;20.0;8000.0;9.0
102;26.0;20.1;8000.0;9.0
103;15.0;20.1;8000.0;9.0
104;14.0;20.1;8000.0;9.0
105;15.0;20.2;8000.0;9.0
106;22.0;20.2;8000.0;9.0
107;14.0;20.1;8800.0;10.0
108;12.0;20.0;8800.0;10.0
109;25.0;20.1;8800.0;10.0
110;14.0;20.1;8800.0;10.0
111;26.0;20.2;8800.0;10.0
112;15.0;20.2;9600.0;11.0
113;16.0;20.1;9600.0;11.0
114;20.0;20.2;9600.0;11.0
115;11.0;20.1;9600.0;11.0
116;29.0;20.3;9600.0;11.0
117;12.0;20.3;9600.0;11.0
118;10.0;20.3;10400.0;12.0
119;17.0;20.2;10400.0;12.0
120;14.0;19.9;10400.0;12.0
121;15.0;19.8;10400.0;12.0
122;17.0;19.8;10400.0;12.0
123;14.0;19.6;10400.0;12.0
124;39.0;19.9;11192.0;13.0
125;10.0;19.8;11192.0;13.0
126;16.0;19.8;11192.0;13.0
127;15.0;19.8;11192.0;13.0
128;12.0;19.8;11192.0;13.0
129;18.0;19.7;11192.0;13.0
130;12.0;19.7;11984.0;14.0
131;25.0;19.8;11984.0;14.0
132;53.0;20.1;11984.0;14.0
133;19.0;20.2;11984.0;14.0
134;13.0;19.7;12776.0;15.0
135;19.0;19.7;12776.0;15.0
136;15.0;19.6;12776.0;15.0
137;13.0;19.5;12776.0;15.0
138;9.0;19.4;12776.0;15.0
139;16.0;19.3;12776.0;15.0
140;27.0;19.3;13568.0;16.0
141;27.0;19.3;13568.0;16.0
142;18.0;19.4;13568.0;16.0
143;20.0;19.4;13568.0;16.0
144;13.0;19.2;13568.0;16.0
145;13.0;19.2;14360.0;17.0
146;10.0;19.0;14360.0;17.0
147;23.0;19.0;14360.0;17.0
148;9.0;18.9;14360.0;17.0
149;27.0;19.0;14360.0;17.0
150;9.0;18.9;14360.0;17.0
151;23.0;18.5;15152.0;18.0
152;14.0;18.4;15152.0;18.0
153;46.0;18.7;15152.0;18.0
154;38.0;18.9;15944.0;19.0
155;10.0;18.3;15944.0;19.0
156;18.0;18.4;15944.0;19.0
157;43.0;18.4;15944.0;19.0
158;23.0;18.4;16736.0;20.0
159;26.0;18.5;16736.0;20.0
160;41.0;18.8;16736.0;20.0
161;23.0;18.8;16736.0;20.0
162;10.0;18.6;17528.0;21.0
163;21.0;18.6;17528.0;21.0
164;108.0;19.5;18320.0;22.0
