episode;reward4;avg_reward4;t_global;cr
1;15.0;15.0;1.0;0
2;20.0;17.5;1.0;0
3;14.0;16.3;1.0;0
4;13.0;15.5;1.0;0
5;23.0;17.0;1.0;0
6;27.0;18.7;1.0;0
7;22.0;19.1;1.0;0
8;14.0;18.5;1.0;0
9;14.0;18.0;1.0;0
10;17.0;17.9;1.0;0
11;18.0;17.9;1.0;0
12;31.0;19.0;1.0;0
13;27.0;19.6;1.0;0
14;24.0;19.9;1.0;0
15;26.0;20.3;1.0;0
16;11.0;19.8;1.0;0
17;13.0;19.4;1.0;0
18;16.0;19.2;1.0;0
19;19.0;19.2;1.0;0
20;13.0;18.8;1.0;0
21;10.0;18.4;1.0;0
22;29.0;18.9;1.0;0
23;38.0;19.7;1.0;0
24;11.0;19.4;1.0;0
25;12.0;19.1;1.0;0
26;20.0;19.1;1.0;0
27;20.0;19.1;1.0;0
28;23.0;19.3;1.0;0
29;17.0;19.2;1.0;0
30;12.0;19.0;1.0;0
31;20.0;19.0;1.0;0
32;23.0;19.1;1.0;0
33;26.0;19.3;1.0;0
34;43.0;20.0;1.0;0
35;23.0;20.1;1.0;0
36;16.0;20.0;1.0;0
37;47.0;20.7;1.0;0
38;34.0;21.1;1.0;0
39;12.0;20.8;1.0;0
40;43.0;21.4;1.0;0
41;15.0;21.2;1.0;0
42;19.0;21.2;1.0;0
43;51.0;21.9;1.0;0
44;14.0;21.7;1.0;0
45;36.0;22.0;1.0;0
