comm_rounds;t7;staleness7;epoch7
1;1100;300.0;99.96
2;1200;400.0;99.92
3;1300;500.0;99.88
4;1400;300.0;99.84
5;1500;200.0;99.8
6;1600;600.0;99.76
7;1700;400.0;99.72
8;1800;200.0;99.68
9;1900;300.0;99.64
10;2000;100.0;99.6
11;2100;100.0;99.56
12;2200;300.0;99.52
13;2300;600.0;99.48
14;2399;495.0;99.44
15;2498;495.0;99.4
16;2597;693.0;99.36
17;2696;396.0;99.32
18;2795;396.0;99.28
19;2894;495.0;99.24
20;2993;495.0;99.2
21;3092;297.0;99.16
22;3191;396.0;99.12
23;3290;396.0;99.08
24;3389;693.0;99.04
25;3488;297.0;99.0
26;3587;99.0;98.96
27;3686;594.0;98.92
28;3785;495.0;98.88
29;3884;495.0;98.84
30;3983;99.0;98.8
31;4082;198.0;98.76
32;4181;594.0;98.72
33;4280;198.0;98.68
34;4379;99.0;98.64
35;4478;198.0;98.6
36;4577;297.0;98.56
37;4676;297.0;98.52
38;4775;297.0;98.48
39;4873;196.0;98.44
40;4971;294.0;98.4
41;5069;392.0;98.36
42;5167;490.0;98.32
43;5265;196.0;98.28
44;5363;490.0;98.24
45;5461;490.0;98.2
46;5559;98.0;98.16
47;5657;98.0;98.12
48;5755;98.0;98.08
49;5853;392.0;98.04
50;5951;490.0;98.0
51;6049;294.0;97.96
52;6147;588.0;97.92
53;6245;196.0;97.88
54;6343;490.0;97.84
55;6441;392.0;97.8
56;6539;98.0;97.76
57;6637;588.0;97.72
58;6735;490.0;97.68
59;6833;392.0;97.64
60;6931;98.0;97.6
61;7029;490.0;97.56
62;7127;490.0;97.52
63;7225;196.0;97.48
64;7322;388.0;97.44
65;7419;388.0;97.4
66;7516;485.0;97.36
67;7613;291.0;97.32
68;7710;194.0;97.28
69;7807;291.0;97.24
70;7904;485.0;97.2
71;8001;582.0;97.16
72;8098;388.0;97.12
73;8195;291.0;97.08
74;8292;582.0;97.04
75;8389;388.0;97.0
76;8486;291.0;96.96
77;8583;291.0;96.92
78;8680;388.0;96.88
79;8777;194.0;96.84
80;8874;485.0;96.8
81;8971;194.0;96.76
82;9068;485.0;96.72
83;9165;97.0;96.68
84;9262;388.0;96.64
85;9359;582.0;96.6
86;9456;485.0;96.56
87;9553;291.0;96.52
88;9650;485.0;96.48
89;9746;480.0;96.44
90;9842;192.0;96.4
91;9938;384.0;96.36
92;10034;480.0;96.32
93;10130;96.0;96.28
94;10226;288.0;96.24
95;10322;480.0;96.2
96;10418;192.0;96.16
97;10514;192.0;96.12
98;10610;480.0;96.08
99;10706;576.0;96.04
100;10802;384.0;96.0
101;10898;192.0;95.96
102;10994;96.0;95.92
103;11090;480.0;95.88
104;11186;480.0;95.84
105;11282;480.0;95.8
106;11378;480.0;95.76
107;11474;96.0;95.72
108;11570;288.0;95.68
109;11666;576.0;95.64
110;11762;192.0;95.6
111;11858;576.0;95.56
112;11954;96.0;95.52
113;12050;480.0;95.48
114;12145;190.0;95.44
115;12240;475.0;95.4
116;12335;475.0;95.36
117;12430;380.0;95.32
118;12525;380.0;95.28
119;12620;285.0;95.24
120;12715;475.0;95.2
121;12810;570.0;95.16
122;12905;475.0;95.12
123;13000;95.0;95.08
124;13095;285.0;95.04
125;13190;95.0;95.0
