episode;reward0;avg_reward0;t_global;cr;;episode;reward1;avg_reward1;t_global;cr;;avg_reward;avg_avg_reward
1;11.0;11.0;0.0;0;;1;27.0;27.0;0.0;0;;19.0;19.0
2;15.0;13.0;0.0;0;;2;22.0;24.5;0.0;0;;18.5;18.75
3;9.0;11.7;0.0;0;;3;14.0;21.0;0.0;0;;11.5;16.35
4;13.0;12.0;0.0;0;;4;29.0;23.0;0.0;0;;21.0;17.5
5;13.0;12.2;0.0;0;;5;12.0;20.8;0.0;0;;12.5;16.5
6;21.0;13.7;0.0;0;;6;23.0;21.2;0.0;0;;22.0;17.45
7;22.0;14.9;0.0;0;;7;22.0;21.3;0.0;0;;22.0;18.1
8;17.0;15.1;0.0;0;;8;21.0;21.2;0.0;0;;19.0;18.15
9;14.0;15.0;0.0;0;;9;20.0;21.1;0.0;0;;17.0;18.05
10;18.0;15.3;0.0;0;;10;42.0;23.2;0.0;0;;30.0;19.25
11;14.0;15.2;0.0;0;;11;11.0;22.1;0.0;0;;12.5;18.65
12;16.0;15.2;0.0;0;;12;10.0;21.1;0.0;0;;13.0;18.15
13;27.0;16.2;0.0;0;;13;30.0;21.8;0.0;0;;28.5;19.0
14;9.0;15.6;0.0;0;;14;26.0;22.1;0.0;0;;17.5;18.85
15;20.0;15.9;0.0;0;;15;21.0;22.0;0.0;0;;20.5;18.95
16;9.0;15.5;0.0;0;;16;49.0;23.7;0.0;0;;29.0;19.6
17;11.0;15.2;0.0;0;;17;16.0;23.2;0.0;0;;13.5;19.2
18;13.0;15.1;0.0;0;;18;13.0;22.7;0.0;0;;13.0;18.9
19;24.0;15.6;0.0;0;;19;28.0;22.9;0.0;0;;26.0;19.25
20;48.0;17.2;0.0;0;;20;14.0;22.5;0.0;0;;31.0;19.85
21;21.0;17.4;0.0;0;;21;14.0;22.1;0.0;0;;17.5;19.75
22;25.0;17.7;0.0;0;;22;15.0;21.8;0.0;0;;20.0;19.75
23;24.0;18.0;0.0;0;;23;32.0;22.2;0.0;0;;28.0;20.1
24;17.0;18.0;0.0;0;;24;16.0;22.0;0.0;0;;16.5;20.0
25;16.0;17.9;0.0;0;;25;40.0;22.7;0.0;0;;28.0;20.299999999999997
26;16.0;17.8;0.0;0;;26;24.0;22.7;0.0;0;;20.0;20.25
27;18.0;17.8;0.0;0;;27;13.0;22.4;0.0;0;;15.5;20.1
28;11.0;17.6;0.0;0;;28;17.0;22.2;0.0;0;;14.0;19.9
29;27.0;17.9;0.0;0;;29;11.0;21.8;0.0;0;;19.0;19.85
30;13.0;17.7;0.0;0;;30;19.0;21.7;0.0;0;;16.0;19.7
31;19.0;17.8;0.0;0;;31;16.0;21.5;0.0;0;;17.5;19.65
32;21.0;17.9;0.0;0;;32;35.0;21.9;0.0;0;;28.0;19.9
33;11.0;17.7;0.0;0;;33;25.0;22.0;0.0;0;;18.0;19.85
34;62.0;19.0;0.0;0;;34;19.0;21.9;0.0;0;;40.5;20.45
35;18.0;18.9;0.0;0;;35;28.0;22.1;0.0;0;;23.0;20.5
36;17.0;18.9;0.0;0;;36;34.0;22.4;0.0;0;;25.5;20.65
37;29.0;19.2;0.0;0;;37;59.0;23.4;0.0;0;;44.0;21.299999999999997
38;13.0;19.0;0.0;0;;38;10.0;23.1;0.0;0;;11.5;21.05
39;31.0;19.3;0.0;0;;39;29.0;23.2;0.0;0;;30.0;21.25
40;24.0;19.4;0.0;0;;40;35.0;23.5;0.0;0;;29.5;21.45
41;28.0;19.6;0.0;0;;41;63.0;24.5;0.0;0;;45.5;22.05
42;13.0;19.5;0.0;0;;42;14.0;24.2;0.0;0;;13.5;21.85
43;22.0;19.5;0.0;0;;43;37.0;24.5;0.0;0;;29.5;22.0
44;27.0;19.7;0.0;0;;44;18.0;24.4;0.0;0;;22.5;22.049999999999997
45;13.0;19.6;0.0;0;;45;26.0;24.4;0.0;0;;19.5;22.0
46;30.0;19.8;0.0;0;;46;55.0;25.1;200.0;0.0;;42.5;22.450000000000003
47;24.0;19.9;0.0;0;;47;11.0;24.8;200.0;0.0;;17.5;22.35
48;15.0;19.8;0.0;0;;48;20.0;24.7;200.0;0.0;;17.5;22.25
49;16.0;19.7;0.0;0;;49;32.0;24.8;400.0;1.0;;24.0;22.25
50;27.0;19.8;0.0;0;;50;57.0;25.5;400.0;1.0;;42.0;22.65
51;61.0;20.6;0.0;0;;51;13.0;25.2;400.0;1.0;;37.0;22.9
52;19.0;20.6;0.0;0;;52;21.0;25.2;600.0;2.0;;20.0;22.9
53;21.0;20.6;0.0;0;;53;15.0;25.0;600.0;2.0;;18.0;22.8
54;13.0;20.5;200.0;0.0;;54;9.0;24.7;600.0;2.0;;11.0;22.6
55;73.0;21.4;200.0;0.0;;55;18.0;24.5;600.0;2.0;;45.5;22.95
56;12.0;21.3;200.0;0.0;;56;17.0;24.4;600.0;2.0;;14.5;22.85
57;42.0;21.6;400.0;1.0;;57;9.0;24.1;600.0;2.0;;25.5;22.85
58;20.0;21.6;400.0;1.0;;58;59.0;24.7;800.0;3.0;;39.5;23.15
59;13.0;21.5;400.0;1.0;;59;41.0;25.0;800.0;3.0;;27.0;23.25
60;19.0;21.4;400.0;1.0;;60;11.0;24.8;800.0;3.0;;15.0;23.1
61;17.0;21.3;600.0;2.0;;61;38.0;25.0;1000.0;4.0;;27.5;23.15
62;43.0;21.7;600.0;2.0;;62;15.0;24.8;1000.0;4.0;;29.0;23.25
63;40.0;22.0;600.0;2.0;;63;29.0;24.9;1000.0;4.0;;34.5;23.45
64;12.0;21.8;600.0;2.0;;64;23.0;24.9;1000.0;4.0;;17.5;23.35
65;19.0;21.8;800.0;3.0;;65;9.0;24.6;1000.0;4.0;;14.0;23.200000000000003
66;10.0;21.6;800.0;3.0;;66;33.0;24.8;1200.0;5.0;;21.5;23.200000000000003
67;28.0;21.7;800.0;3.0;;67;13.0;24.6;1200.0;5.0;;20.5;23.15
68;14.0;21.6;800.0;3.0;;68;20.0;24.5;1200.0;5.0;;17.0;23.05
69;17.0;21.5;800.0;3.0;;69;11.0;24.3;1200.0;5.0;;14.0;22.9
70;15.0;21.4;800.0;3.0;;70;12.0;24.1;1200.0;5.0;;13.5;22.75
71;10.0;21.3;1000.0;4.0;;71;22.0;24.1;1400.0;6.0;;16.0;22.700000000000003
72;13.0;21.2;1000.0;4.0;;72;34.0;24.2;1400.0;6.0;;23.5;22.7
73;32.0;21.3;1000.0;4.0;;73;11.0;24.1;1400.0;6.0;;21.5;22.700000000000003
74;26.0;21.4;1000.0;4.0;;74;12.0;23.9;1400.0;6.0;;19.0;22.65
75;12.0;21.2;1000.0;4.0;;75;12.0;23.7;1400.0;6.0;;12.0;22.45
76;22.0;21.2;1200.0;5.0;;76;26.0;23.8;1600.0;7.0;;24.0;22.5
77;21.0;21.2;1200.0;5.0;;77;12.0;23.6;1600.0;7.0;;16.5;22.4
78;33.0;21.4;1200.0;5.0;;78;22.0;23.6;1600.0;7.0;;27.5;22.5
79;18.0;21.4;1200.0;5.0;;79;26.0;23.6;1600.0;7.0;;22.0;22.5
80;12.0;21.2;1200.0;5.0;;80;44.0;23.9;1800.0;8.0;;28.0;22.549999999999997
81;12.0;21.1;1400.0;6.0;;81;22.0;23.9;1800.0;8.0;;17.0;22.5
82;9.0;21.0;1400.0;6.0;;82;23.0;23.9;1800.0;8.0;;16.0;22.45
83;20.0;21.0;1400.0;6.0;;83;23.0;23.8;1800.0;8.0;;21.5;22.4
84;43.0;21.2;1400.0;6.0;;84;18.0;23.8;1800.0;8.0;;30.5;22.5
85;26.0;21.3;1600.0;7.0;;85;26.0;23.8;2000.0;9.0;;26.0;22.55
86;26.0;21.3;1600.0;7.0;;86;27.0;23.8;2000.0;9.0;;26.5;22.55
87;26.0;21.4;1600.0;7.0;;87;32.0;23.9;2000.0;9.0;;29.0;22.65
88;19.0;21.4;1600.0;7.0;;88;35.0;24.1;2200.0;10.0;;27.0;22.75
89;37.0;21.5;1800.0;8.0;;89;21.0;24.0;2200.0;10.0;;29.0;22.75
90;16.0;21.5;1800.0;8.0;;90;29.0;24.1;2200.0;10.0;;22.5;22.8
91;17.0;21.4;1800.0;8.0;;91;29.0;24.1;2200.0;10.0;;23.0;22.75
92;83.0;22.1;2000.0;9.0;;92;26.0;24.2;2400.0;11.0;;54.5;23.15
93;28.0;22.2;2000.0;9.0;;93;35.0;24.3;2400.0;11.0;;31.5;23.25
94;30.0;22.2;2000.0;9.0;;94;53.0;24.6;2600.0;12.0;;41.5;23.4
95;28.0;22.3;2200.0;10.0;;95;27.0;24.6;2600.0;12.0;;27.5;23.450000000000003
96;12.0;22.2;2200.0;10.0;;96;16.0;24.5;2600.0;12.0;;14.0;23.35
97;24.0;22.2;2200.0;10.0;;97;16.0;24.4;2600.0;12.0;;20.0;23.299999999999997
98;21.0;22.2;2200.0;10.0;;98;20.0;24.4;2600.0;12.0;;20.5;23.299999999999997
99;31.0;22.3;2400.0;11.0;;99;12.0;24.3;2798.0;13.0;;21.5;23.3
100;13.0;22.2;2400.0;11.0;;100;18.0;24.2;2798.0;13.0;;15.5;23.2
101;17.0;22.3;2400.0;11.0;;101;30.0;24.2;2798.0;13.0;;23.5;23.25
102;15.0;22.3;2400.0;11.0;;102;8.0;24.1;2798.0;13.0;;11.5;23.200000000000003
103;22.0;22.4;2400.0;11.0;;103;46.0;24.4;2996.0;14.0;;34.0;23.4
104;32.0;22.6;2600.0;12.0;;104;28.0;24.4;2996.0;14.0;;30.0;23.5
105;22.0;22.7;2600.0;12.0;;105;48.0;24.8;2996.0;14.0;;35.0;23.75
106;19.0;22.6;2600.0;12.0;;106;35.0;24.9;3194.0;15.0;;27.0;23.75
107;13.0;22.6;2600.0;12.0;;107;25.0;24.9;3194.0;15.0;;19.0;23.75
108;29.0;22.7;2600.0;12.0;;108;15.0;24.8;3194.0;15.0;;22.0;23.75
109;64.0;23.2;2798.0;13.0;;109;23.0;24.9;3194.0;15.0;;43.5;24.049999999999997
110;18.0;23.2;2798.0;13.0;;110;13.0;24.6;3194.0;15.0;;15.5;23.9
111;13.0;23.2;2798.0;13.0;;111;36.0;24.8;3392.0;16.0;;24.5;24.0
112;39.0;23.4;2996.0;14.0;;112;21.0;24.9;3392.0;16.0;;30.0;24.15
113;24.0;23.4;2996.0;14.0;;113;23.0;24.9;3392.0;16.0;;23.5;24.15
114;33.0;23.6;2996.0;14.0;;114;15.0;24.8;3392.0;16.0;;24.0;24.200000000000003
115;31.0;23.7;3194.0;15.0;;115;27.0;24.8;3590.0;17.0;;29.0;24.25
116;23.0;23.9;3194.0;15.0;;116;42.0;24.8;3590.0;17.0;;32.5;24.35
117;30.0;24.0;3194.0;15.0;;117;56.0;25.2;3788.0;18.0;;43.0;24.6
118;30.0;24.2;3194.0;15.0;;118;18.0;25.2;3788.0;18.0;;24.0;24.7
119;26.0;24.2;3392.0;16.0;;119;90.0;25.8;3986.0;19.0;;58.0;25.0
120;56.0;24.3;3392.0;16.0;;120;24.0;25.9;3986.0;19.0;;40.0;25.1
121;12.0;24.2;3392.0;16.0;;121;16.0;25.9;3986.0;19.0;;14.0;25.049999999999997
122;14.0;24.1;3590.0;17.0;;122;17.0;26.0;3986.0;19.0;;15.5;25.05
123;42.0;24.3;3590.0;17.0;;123;19.0;25.8;4184.0;20.0;;30.5;25.05
124;36.0;24.5;3590.0;17.0;;124;10.0;25.8;4184.0;20.0;;23.0;25.15
125;36.0;24.7;3788.0;18.0;;125;15.0;25.5;4184.0;20.0;;25.5;25.1
126;13.0;24.7;3788.0;18.0;;126;14.0;25.4;4184.0;20.0;;13.5;25.049999999999997
127;8.0;24.6;3788.0;18.0;;127;30.0;25.6;4184.0;20.0;;19.0;25.1
128;42.0;24.9;3788.0;18.0;;128;17.0;25.6;4184.0;20.0;;29.5;25.25
129;96.0;25.6;3986.0;19.0;;129;61.0;26.1;4382.0;21.0;;78.5;25.85
130;25.0;25.7;4184.0;20.0;;130;20.0;26.1;4382.0;21.0;;22.5;25.9
131;52.0;26.0;4184.0;20.0;;131;10.0;26.0;4382.0;21.0;;31.0;26.0
132;40.0;26.2;4184.0;20.0;;132;27.0;26.0;4580.0;22.0;;33.5;26.1
133;32.0;26.4;4382.0;21.0;;133;29.0;26.0;4580.0;22.0;;30.5;26.2
134;21.0;26.0;4382.0;21.0;;134;17.0;26.0;4580.0;22.0;;19.0;26.0
135;25.0;26.1;4382.0;21.0;;135;29.0;26.0;4580.0;22.0;;27.0;26.05
136;29.0;26.2;4580.0;22.0;;136;53.0;26.2;4778.0;23.0;;41.0;26.2
137;21.0;26.1;4580.0;22.0;;137;16.0;25.8;4778.0;23.0;;18.5;25.950000000000003
138;24.0;26.2;4580.0;22.0;;138;59.0;26.2;4976.0;24.0;;41.5;26.2
139;17.0;26.1;4580.0;22.0;;139;23.0;26.2;4976.0;24.0;;20.0;26.15
140;20.0;26.0;4580.0;22.0;;140;37.0;26.2;4976.0;24.0;;28.5;26.1
141;15.0;25.9;4778.0;23.0;;141;13.0;25.7;4976.0;24.0;;14.0;25.799999999999997
142;30.0;26.1;4778.0;23.0;;142;32.0;25.9;5174.0;25.0;;31.0;26.0
143;27.0;26.1;4778.0;23.0;;143;22.0;25.7;5174.0;25.0;;24.5;25.9
144;22.0;26.1;4778.0;23.0;;144;16.0;25.7;5174.0;25.0;;19.0;25.9
145;21.0;26.2;4976.0;24.0;;145;35.0;25.8;5174.0;25.0;;28.0;26.0
146;56.0;26.4;4976.0;24.0;;146;33.0;25.6;5372.0;26.0;;44.5;26.0
147;15.0;26.3;4976.0;24.0;;147;30.0;25.8;5372.0;26.0;;22.5;26.05
148;23.0;26.4;5174.0;25.0;;148;91.0;26.5;5570.0;27.0;;57.0;26.45
149;60.0;26.8;5174.0;25.0;;149;61.0;26.8;5768.0;28.0;;60.5;26.8
150;27.0;26.8;5174.0;25.0;;150;22.0;26.4;5768.0;28.0;;24.5;26.6
151;25.0;26.5;5372.0;26.0;;151;28.0;26.6;5768.0;28.0;;26.5;26.55
152;38.0;26.7;5372.0;26.0;;152;23.0;26.6;5768.0;28.0;;30.5;26.65
153;58.0;27.0;5570.0;27.0;;153;29.0;26.7;5966.0;29.0;;43.5;26.85
154;18.0;27.1;5570.0;27.0;;154;22.0;26.9;5966.0;29.0;;20.0;27.0
155;29.0;26.7;5570.0;27.0;;155;17.0;26.8;5966.0;29.0;;23.0;26.75
156;54.0;27.1;5768.0;28.0;;156;45.0;27.1;5966.0;29.0;;49.5;27.1
157;28.0;26.9;5768.0;28.0;;157;34.0;27.4;6164.0;30.0;;31.0;27.15
158;51.0;27.2;5768.0;28.0;;158;25.0;27.0;6164.0;30.0;;38.0;27.1
159;35.0;27.5;5966.0;29.0;;159;37.0;27.0;6164.0;30.0;;36.0;27.25
160;45.0;27.7;5966.0;29.0;;160;36.0;27.2;6362.0;31.0;;40.5;27.45
161;30.0;27.9;6164.0;30.0;;161;14.0;27.0;6362.0;31.0;;22.0;27.45
162;45.0;27.9;6164.0;30.0;;162;36.0;27.2;6362.0;31.0;;40.5;27.549999999999997
163;42.0;27.9;6164.0;30.0;;163;41.0;27.3;6560.0;32.0;;41.5;27.6
164;17.0;28.0;6362.0;31.0;;164;23.0;27.3;6560.0;32.0;;20.0;27.65
165;41.0;28.2;6362.0;31.0;;165;14.0;27.4;6560.0;32.0;;27.5;27.799999999999997
166;15.0;28.2;6362.0;31.0;;166;35.0;27.4;6560.0;32.0;;25.0;27.799999999999997
167;46.0;28.4;6560.0;32.0;;167;31.0;27.6;6758.0;33.0;;38.5;28.0
168;16.0;28.4;6560.0;32.0;;168;37.0;27.8;6758.0;33.0;;26.5;28.1
169;24.0;28.5;6560.0;32.0;;169;31.0;28.0;6758.0;33.0;;27.5;28.25
170;31.0;28.6;6560.0;32.0;;170;31.0;28.2;6956.0;34.0;;31.0;28.4
171;26.0;28.8;6758.0;33.0;;171;35.0;28.3;6956.0;34.0;;30.5;28.55
172;44.0;29.1;6758.0;33.0;;172;94.0;28.9;7154.0;35.0;;69.0;29.0
173;34.0;29.1;6758.0;33.0;;173;27.0;29.0;7154.0;35.0;;30.5;29.05
174;19.0;29.1;6956.0;34.0;;174;10.0;29.0;7154.0;35.0;;14.5;29.05
175;27.0;29.2;6956.0;34.0;;175;27.0;29.2;7352.0;36.0;;27.0;29.2
176;16.0;29.2;6956.0;34.0;;176;14.0;29.0;7352.0;36.0;;15.0;29.1
177;25.0;29.2;6956.0;34.0;;177;42.0;29.4;7352.0;36.0;;33.5;29.299999999999997
178;63.0;29.5;7154.0;35.0;;178;36.0;29.5;7550.0;37.0;;49.5;29.5
179;26.0;29.6;7154.0;35.0;;179;38.0;29.6;7550.0;37.0;;32.0;29.6
180;59.0;30.0;7352.0;36.0;;180;30.0;29.5;7550.0;37.0;;44.5;29.75
181;31.0;30.2;7352.0;36.0;;181;19.0;29.4;7746.0;38.0;;25.0;29.799999999999997
182;49.0;30.6;7550.0;37.0;;182;35.0;29.6;7746.0;38.0;;42.0;30.1
183;33.0;30.8;7550.0;37.0;;183;31.0;29.6;7746.0;38.0;;32.0;30.200000000000003
184;63.0;31.0;7746.0;38.0;;184;43.0;29.9;7942.0;39.0;;53.0;30.45
185;42.0;31.1;7746.0;38.0;;185;25.0;29.9;7942.0;39.0;;33.5;30.5
186;23.0;31.1;7746.0;38.0;;186;26.0;29.9;7942.0;39.0;;24.5;30.5
187;49.0;31.3;7942.0;39.0;;187;54.0;30.1;8138.0;40.0;;51.5;30.700000000000003
188;34.0;31.5;7942.0;39.0;;188;101.0;30.8;8334.0;41.0;;67.5;31.15
189;26.0;31.4;7942.0;39.0;;189;11.0;30.6;8334.0;41.0;;18.5;31.0
190;32.0;31.5;8138.0;40.0;;190;59.0;31.0;8334.0;41.0;;45.5;31.25
191;16.0;31.5;8138.0;40.0;;191;24.0;30.9;8530.0;42.0;;20.0;31.2
192;29.0;31.0;8138.0;40.0;;192;20.0;30.8;8530.0;42.0;;24.5;30.9
193;20.0;30.9;8138.0;40.0;;193;63.0;31.1;8726.0;43.0;;41.5;31.0
194;69.0;31.3;8334.0;41.0;;194;46.0;31.0;8726.0;43.0;;57.5;31.15
195;33.0;31.3;8334.0;41.0;;195;42.0;31.2;8726.0;43.0;;37.5;31.25
196;39.0;31.6;8530.0;42.0;;196;41.0;31.4;8922.0;44.0;;40.0;31.5
197;32.0;31.7;8530.0;42.0;;197;35.0;31.6;8922.0;44.0;;33.5;31.65
198;31.0;31.8;8530.0;42.0;;198;26.0;31.7;8922.0;44.0;;28.5;31.75
199;34.0;31.8;8726.0;43.0;;199;34.0;31.9;9118.0;45.0;;34.0;31.85
200;42.0;32.1;8726.0;43.0;;200;30.0;32.0;9118.0;45.0;;36.0;32.05
201;52.0;32.5;8922.0;44.0;;201;54.0;32.3;9314.0;46.0;;53.0;32.4
202;74.0;33.0;8922.0;44.0;;202;51.0;32.7;9314.0;46.0;;62.5;32.85
203;118.0;34.0;9314.0;46.0;;203;46.0;32.7;9510.0;47.0;;82.0;33.35
204;49.0;34.2;9314.0;46.0;;204;26.0;32.7;9510.0;47.0;;37.5;33.45
205;107.0;35.0;9510.0;47.0;;205;49.0;32.7;9510.0;47.0;;78.0;33.85
206;72.0;35.6;9706.0;48.0;;206;43.0;32.8;9706.0;48.0;;57.5;34.2
207;63.0;36.1;9902.0;49.0;;207;55.0;33.1;9706.0;48.0;;59.0;34.6
208;200.0;37.8;10294.0;51.0;;208;53.0;33.5;9902.0;49.0;;126.5;35.65
209;67.0;37.8;10294.0;51.0;;209;38.0;33.6;9902.0;49.0;;52.5;35.7
210;66.0;38.3;10490.0;52.0;;210;75.0;34.2;10098.0;50.0;;70.5;36.25
211;64.0;38.8;10686.0;53.0;;211;30.0;34.2;10098.0;50.0;;47.0;36.5
212;39.0;38.8;10686.0;53.0;;212;71.0;34.7;10294.0;51.0;;55.0;36.75
213;98.0;39.5;10882.0;54.0;;213;70.0;35.1;10490.0;52.0;;84.0;37.3
214;62.0;39.8;11078.0;55.0;;214;56.0;35.6;10490.0;52.0;;59.0;37.7
215;63.0;40.1;11078.0;55.0;;215;47.0;35.8;10686.0;53.0;;55.0;37.95
216;42.0;40.3;11274.0;56.0;;216;42.0;35.8;10686.0;53.0;;42.0;38.05
217;81.0;40.8;11470.0;57.0;;217;24.0;35.4;10882.0;54.0;;52.5;38.099999999999994
218;38.0;40.9;11470.0;57.0;;218;51.0;35.8;10882.0;54.0;;44.5;38.349999999999994
219;63.0;41.3;11666.0;58.0;;219;39.0;35.2;11078.0;55.0;;51.0;38.25
220;96.0;41.7;11862.0;59.0;;220;43.0;35.4;11078.0;55.0;;69.5;38.55
221;46.0;42.0;11862.0;59.0;;221;56.0;35.8;11274.0;56.0;;51.0;38.9
222;90.0;42.8;12058.0;60.0;;222;77.0;36.4;11274.0;56.0;;83.5;39.599999999999994
223;121.0;43.6;12254.0;61.0;;223;77.0;37.0;11470.0;57.0;;99.0;40.3
224;123.0;44.4;12644.0;63.0;;224;23.0;37.2;11470.0;57.0;;73.0;40.8
225;98.0;45.1;12838.0;64.0;;225;16.0;37.2;11666.0;58.0;;57.0;41.150000000000006
226;81.0;45.8;12838.0;64.0;;226;69.0;37.7;11666.0;58.0;;75.0;41.75
227;81.0;46.5;13032.0;65.0;;227;28.0;37.7;11666.0;58.0;;54.5;42.1
228;81.0;46.9;13226.0;66.0;;228;58.0;38.1;11862.0;59.0;;69.5;42.5
229;103.0;46.9;13420.0;67.0;;229;101.0;38.5;12058.0;60.0;;102.0;42.7
230;98.0;47.7;13614.0;68.0;;230;100.0;39.3;12254.0;61.0;;99.0;43.5
231;84.0;48.0;13808.0;69.0;;231;114.0;40.3;12450.0;62.0;;99.0;44.15
232;146.0;49.0;14002.0;70.0;;232;92.0;41.0;12644.0;63.0;;119.0;45.0
233;168.0;50.4;14390.0;72.0;;233;58.0;41.3;12838.0;64.0;;113.0;45.849999999999994
234;200.0;52.2;14778.0;74.0;;234;123.0;42.3;13032.0;65.0;;161.5;47.25
235;140.0;53.4;15166.0;76.0;;235;102.0;43.1;13226.0;66.0;;121.0;48.25
236;133.0;54.4;15360.0;77.0;;236;200.0;44.5;13614.0;68.0;;166.5;49.45
237;140.0;55.6;15748.0;79.0;;237;165.0;46.0;14002.0;70.0;;152.5;50.8
238;142.0;56.8;15942.0;80.0;;238;173.0;47.2;14390.0;72.0;;157.5;52.0
239;200.0;58.6;16330.0;82.0;;239;153.0;48.5;14584.0;73.0;;176.5;53.55
240;200.0;60.4;16718.0;84.0;;240;129.0;49.4;14972.0;75.0;;164.5;54.9
241;148.0;61.7;17106.0;86.0;;241;137.0;50.6;15166.0;76.0;;142.5;56.150000000000006
242;140.0;62.8;17300.0;87.0;;242;199.0;52.3;15554.0;78.0;;169.5;57.55
243;200.0;64.6;17684.0;89.0;;243;173.0;53.8;15942.0;80.0;;186.5;59.199999999999996
244;174.0;66.1;18068.0;91.0;;244;141.0;55.1;16136.0;81.0;;157.5;60.599999999999994
245;159.0;67.4;18452.0;93.0;;245;156.0;56.3;16524.0;83.0;;157.5;61.85
246;156.0;68.4;18644.0;94.0;;246;200.0;57.9;16912.0;85.0;;178.0;63.150000000000006
247;200.0;70.3;19028.0;96.0;;247;184.0;59.5;17300.0;87.0;;192.0;64.9
248;151.0;71.6;19412.0;98.0;;248;172.0;60.3;17684.0;89.0;;161.5;65.94999999999999
249;115.0;72.1;19604.0;99.0;;249;133.0;61.0;17876.0;90.0;;124.0;66.55
250;130.0;73.2;19796.0;100.0;;250;186.0;62.6;18260.0;92.0;;158.0;67.9
251;125.0;74.2;20180.0;102.0;;251;170.0;64.1;18644.0;94.0;;147.5;69.15
