episode;reward0;avg_reward0;t_global;cr;;episode;reward1;avg_reward1;t_global;cr;;episode;reward2;avg_reward2;t_global;cr;;avg_reward;avg_avg_reward
1;11.0;11.0;0.0;0;;1;27.0;27.0;0.0;0;;1;15.0;15.0;100.0;0;;17.666666666666668;17.666666666666668
2;15.0;13.0;0.0;0;;2;22.0;24.5;0.0;0;;2;16.0;15.5;100.0;0;;17.666666666666668;17.666666666666668
3;9.0;11.7;0.0;0;;3;14.0;21.0;0.0;0;;3;39.0;23.3;100.0;0;;20.666666666666668;18.666666666666668
4;13.0;12.0;0.0;0;;4;29.0;23.0;0.0;0;;4;17.0;21.8;100.0;0;;19.666666666666668;18.933333333333334
5;13.0;12.2;0.0;0;;5;12.0;20.8;0.0;0;;5;19.0;21.2;100.0;0;;14.666666666666666;18.066666666666666
6;21.0;13.7;0.0;0;;6;23.0;21.2;0.0;0;;6;10.0;19.3;100.0;0;;18.0;18.066666666666666
7;22.0;14.9;0.0;0;;7;22.0;21.3;0.0;0;;7;20.0;19.4;100.0;0;;21.333333333333332;18.53333333333333
8;17.0;15.1;0.0;0;;8;21.0;21.2;0.0;0;;8;23.0;19.9;100.0;0;;20.333333333333332;18.733333333333334
9;14.0;15.0;0.0;0;;9;20.0;21.1;0.0;0;;9;14.0;19.2;100.0;0;;16.0;18.433333333333334
10;18.0;15.3;0.0;0;;10;42.0;23.2;0.0;0;;10;10.0;18.3;100.0;0;;23.333333333333332;18.933333333333334
11;14.0;15.2;0.0;0;;11;11.0;22.1;0.0;0;;11;15.0;18.0;100.0;0;;13.333333333333334;18.433333333333334
12;16.0;15.2;0.0;0;;12;10.0;21.1;0.0;0;;12;17.0;17.9;100.0;0;;14.333333333333334;18.066666666666666
13;27.0;16.2;0.0;0;;13;30.0;21.8;0.0;0;;13;17.0;17.8;100.0;0;;24.666666666666668;18.6
14;9.0;15.6;0.0;0;;14;26.0;22.1;0.0;0;;14;12.0;17.4;100.0;0;;15.666666666666666;18.366666666666667
15;20.0;15.9;0.0;0;;15;21.0;22.0;0.0;0;;15;16.0;17.3;100.0;0;;19.0;18.4
16;9.0;15.5;0.0;0;;16;49.0;23.7;0.0;0;;16;30.0;18.1;100.0;0;;29.333333333333332;19.1
17;11.0;15.2;0.0;0;;17;16.0;23.2;0.0;0;;17;16.0;18.0;100.0;0;;14.333333333333334;18.8
18;13.0;15.1;0.0;0;;18;13.0;22.7;0.0;0;;18;17.0;17.9;100.0;0;;14.333333333333334;18.566666666666666
19;24.0;15.6;0.0;0;;19;28.0;22.9;0.0;0;;19;12.0;17.6;100.0;0;;21.333333333333332;18.7
20;48.0;17.2;0.0;0;;20;14.0;22.5;0.0;0;;20;12.0;17.4;100.0;0;;24.666666666666668;19.03333333333333
21;21.0;17.4;0.0;0;;21;14.0;22.1;0.0;0;;21;19.0;17.4;100.0;0;;18.0;18.966666666666665
22;25.0;17.7;0.0;0;;22;15.0;21.8;0.0;0;;22;13.0;17.2;100.0;0;;17.666666666666668;18.9
23;24.0;18.0;0.0;0;;23;32.0;22.2;0.0;0;;23;28.0;17.7;100.0;0;;28.0;19.3
24;17.0;18.0;0.0;0;;24;16.0;22.0;0.0;0;;24;33.0;18.3;100.0;0;;22.0;19.433333333333334
25;16.0;17.9;0.0;0;;25;40.0;22.7;0.0;0;;25;28.0;18.7;100.0;0;;28.0;19.766666666666666
26;16.0;17.8;0.0;0;;26;24.0;22.7;0.0;0;;26;19.0;18.7;100.0;0;;19.666666666666668;19.733333333333334
27;18.0;17.8;0.0;0;;27;13.0;22.4;0.0;0;;27;26.0;19.0;100.0;0;;19.0;19.733333333333334
28;11.0;17.6;0.0;0;;28;17.0;22.2;0.0;0;;28;19.0;19.0;100.0;0;;15.666666666666666;19.6
29;27.0;17.9;0.0;0;;29;11.0;21.8;0.0;0;;29;22.0;19.1;100.0;0;;20.0;19.6
30;13.0;17.7;0.0;0;;30;19.0;21.7;0.0;0;;30;26.0;19.3;100.0;0;;19.333333333333332;19.566666666666666
31;19.0;17.8;0.0;0;;31;16.0;21.5;0.0;0;;31;45.0;20.2;100.0;0;;26.666666666666668;19.833333333333332
32;21.0;17.9;0.0;0;;32;35.0;21.9;0.0;0;;32;13.0;19.9;100.0;0;;23.0;19.9
33;11.0;17.7;0.0;0;;33;25.0;22.0;0.0;0;;33;36.0;20.4;100.0;0;;24.0;20.03333333333333
34;62.0;19.0;0.0;0;;34;19.0;21.9;0.0;0;;34;39.0;21.0;100.0;0;;40.0;20.633333333333333
35;18.0;18.9;0.0;0;;35;28.0;22.1;0.0;0;;35;24.0;21.1;100.0;0;;23.333333333333332;20.7
36;17.0;18.9;0.0;0;;36;34.0;22.4;0.0;0;;36;29.0;21.3;100.0;0;;26.666666666666668;20.866666666666667
37;29.0;19.2;0.0;0;;37;59.0;23.4;0.0;0;;37;45.0;21.9;100.0;0;;44.333333333333336;21.5
38;13.0;19.0;0.0;0;;38;10.0;23.1;0.0;0;;38;10.0;21.6;100.0;0;;11.0;21.233333333333334
39;31.0;19.3;0.0;0;;39;29.0;23.2;0.0;0;;39;18.0;21.5;100.0;0;;26.0;21.333333333333332
40;24.0;19.4;0.0;0;;40;35.0;23.5;0.0;0;;40;18.0;21.4;100.0;0;;25.666666666666668;21.433333333333334
41;28.0;19.6;0.0;0;;41;63.0;24.5;0.0;0;;41;18.0;21.3;100.0;0;;36.333333333333336;21.8
42;13.0;19.5;0.0;0;;42;14.0;24.2;0.0;0;;42;16.0;21.2;100.0;0;;14.333333333333334;21.633333333333333
43;22.0;19.5;0.0;0;;43;37.0;24.5;0.0;0;;43;12.0;21.0;100.0;0;;23.666666666666668;21.666666666666668
44;27.0;19.7;0.0;0;;44;18.0;24.4;0.0;0;;44;41.0;21.5;100.0;0;;28.666666666666668;21.866666666666667
45;13.0;19.6;0.0;0;;45;26.0;24.4;0.0;0;;45;36.0;21.8;100.0;0;;25.0;21.933333333333334
46;30.0;19.8;0.0;0;;46;55.0;25.1;300.0;0.0;;46;20.0;21.7;100.0;0;;35.0;22.2
47;24.0;19.9;0.0;0;;47;11.0;24.8;300.0;0.0;;47;24.0;21.8;100.0;0;;19.666666666666668;22.166666666666668
48;15.0;19.8;0.0;0;;48;20.0;24.7;300.0;0.0;;48;17.0;21.7;100.0;0;;17.333333333333332;22.066666666666666
49;16.0;19.7;0.0;0;;49;32.0;24.8;600.0;1.0;;49;17.0;21.6;100.0;0;;21.666666666666668;22.033333333333335
50;27.0;19.8;0.0;0;;50;57.0;25.5;600.0;1.0;;50;12.0;21.4;100.0;0;;32.0;22.233333333333334
51;61.0;20.6;0.0;0;;51;13.0;25.2;600.0;1.0;;51;15.0;21.3;100.0;0;;29.666666666666668;22.366666666666667
52;19.0;20.6;0.0;0;;52;21.0;25.2;900.0;2.0;;52;12.0;21.1;100.0;0;;17.333333333333332;22.3
53;21.0;20.6;0.0;0;;53;15.0;25.0;900.0;2.0;;53;36.0;21.4;300.0;0.0;;24.0;22.333333333333332
54;13.0;20.5;300.0;0.0;;54;9.0;24.7;900.0;2.0;;54;34.0;21.6;300.0;0.0;;18.666666666666668;22.266666666666666
55;73.0;21.4;300.0;0.0;;55;18.0;24.5;900.0;2.0;;55;11.0;21.4;300.0;0.0;;34.0;22.433333333333334
56;12.0;21.3;300.0;0.0;;56;17.0;24.4;900.0;2.0;;56;10.0;21.2;300.0;0.0;;13.0;22.3
57;42.0;21.6;600.0;1.0;;57;9.0;24.1;900.0;2.0;;57;22.0;21.2;600.0;1.0;;24.333333333333332;22.3
58;20.0;21.6;600.0;1.0;;58;63.0;24.8;1200.0;3.0;;58;11.0;21.1;600.0;1.0;;31.333333333333332;22.5
59;13.0;21.5;600.0;1.0;;59;31.0;24.9;1200.0;3.0;;59;12.0;20.9;600.0;1.0;;18.666666666666668;22.433333333333334
60;19.0;21.4;600.0;1.0;;60;16.0;24.8;1200.0;3.0;;60;30.0;21.0;600.0;1.0;;21.666666666666668;22.4
61;17.0;21.3;900.0;2.0;;61;28.0;24.8;1500.0;4.0;;61;16.0;21.0;600.0;1.0;;20.333333333333332;22.366666666666667
62;60.0;22.0;900.0;2.0;;62;18.0;24.7;1500.0;4.0;;62;21.0;21.0;600.0;1.0;;33.0;22.566666666666666
63;11.0;21.8;900.0;2.0;;63;16.0;24.6;1500.0;4.0;;63;14.0;20.9;900.0;2.0;;13.666666666666666;22.433333333333334
64;26.0;21.9;900.0;2.0;;64;15.0;24.4;1500.0;4.0;;64;17.0;20.8;900.0;2.0;;19.333333333333332;22.366666666666667
65;19.0;21.8;1200.0;3.0;;65;15.0;24.3;1500.0;4.0;;65;25.0;20.9;900.0;2.0;;19.666666666666668;22.333333333333332
66;12.0;21.7;1200.0;3.0;;66;25.0;24.3;1800.0;5.0;;66;15.0;20.8;900.0;2.0;;17.333333333333332;22.266666666666666
67;24.0;21.7;1200.0;3.0;;67;17.0;24.2;1800.0;5.0;;67;14.0;20.7;900.0;2.0;;18.333333333333332;22.2
68;14.0;21.6;1200.0;3.0;;68;15.0;24.0;1800.0;5.0;;68;12.0;20.5;900.0;2.0;;13.666666666666666;22.033333333333335
69;17.0;21.5;1200.0;3.0;;69;14.0;23.9;1800.0;5.0;;69;10.0;20.4;1200.0;3.0;;13.666666666666666;21.933333333333334
70;15.0;21.4;1200.0;3.0;;70;16.0;23.8;1800.0;5.0;;70;16.0;20.3;1200.0;3.0;;15.666666666666666;21.833333333333332
71;10.0;21.3;1500.0;4.0;;71;10.0;23.6;1800.0;5.0;;71;24.0;20.4;1200.0;3.0;;14.666666666666666;21.766666666666666
72;13.0;21.2;1500.0;4.0;;72;9.0;23.4;1800.0;5.0;;72;19.0;20.4;1200.0;3.0;;13.666666666666666;21.666666666666664
73;32.0;21.3;1500.0;4.0;;73;17.0;23.3;1800.0;5.0;;73;17.0;20.3;1200.0;3.0;;22.0;21.633333333333333
74;26.0;21.4;1500.0;4.0;;74;23.0;23.3;2100.0;6.0;;74;15.0;20.2;1200.0;3.0;;21.333333333333332;21.633333333333333
75;12.0;21.2;1500.0;4.0;;75;17.0;23.2;2100.0;6.0;;75;16.0;20.2;1500.0;4.0;;15.0;21.53333333333333
76;22.0;21.2;1800.0;5.0;;76;16.0;23.1;2100.0;6.0;;76;50.0;20.6;1500.0;4.0;;29.333333333333332;21.633333333333333
77;21.0;21.2;1800.0;5.0;;77;12.0;23.0;2100.0;6.0;;77;15.0;20.5;1500.0;4.0;;16.0;21.566666666666666
78;33.0;21.4;1800.0;5.0;;78;12.0;22.8;2100.0;6.0;;78;19.0;20.5;1500.0;4.0;;21.333333333333332;21.566666666666666
79;18.0;21.4;1800.0;5.0;;79;36.0;23.0;2400.0;7.0;;79;23.0;20.5;1800.0;5.0;;25.666666666666668;21.633333333333333
